AFFORDABLE HEARING & TINNITUS RELIEF,970,1000, , 
ALLENS TRAINING PTY LTD,3260, , , 
ARB BUNDABERG., ,1359, , 
ARB CAIRNS., ,1537, , 
ARTIST NETWORK AUSTRALIA, ,652, , 
ATA - GLENN MILLER, ,17412, , 
AUST HERITAGE FUNERALS,1695,1332,1904, 
AUSTRALIAN JEWELLERY LIQUIDATORS,4000, , , 
BACK LANE,3853, , , 
BIKER LIFE, ,210, , 
CARPET CALL S/SHINE COAST,2678,1915,2328, 
CELLAR DOOR ON FIRST,2450, , , 
CJD EQUIPMENT, , ,2026, 
COMFORT DENTAL CENTRE BUDERIM,713, , , 
DWYER QUALITY HOMES,2522,3220, , 
EVENT CINEMAS QUEENSLAND,2416, , , 
FAIR DINKUM ROAD CO PTY LTD, ,189, , 
FOAM & RUBBER INDUSTRIES,2215,2040,1216, 
FREEDOM SUNSHINE COAST,3531,1448,2327, 
FRESH MEATS WISES ROAD PTY LTD,1186, , , 
GARRICKS  CAIRNS,5000,5250, , 
GARRICKS CAMERA HOUSE MAROOCHYDORE, ,2980, , 
GOWAN LEA TIMBERS P/L AS TT FOR GOWAN LEA TIMBERS UNIT , ,570, , 
HAMISH BOLDERSTON,1197, , , 
HUSQVARNA (CORPORATE),6825,5850, , 
INDIGO LIVING,2500,2500, , 
KAWANA PLANTS N PALMS,560, , , 
LIFETIME STONE PTY LTD,1748, , , 
MADILL HOLDEN NOOSA,1422,1754, , 
MADILL HONDA,1474, , , 
MADILL ISUZU SUNSHINE COAST,1074, , , 
MADILL MAZDA WIDE BAY,1044,1143, , 
MADILL MOTOR GROUP SSC,324, , , 
MADILL TOYOTA GYMPIE,1201,1572,558, 
MADILL TOYOTA NOOSA,1358,2640,1011, 
MADILL USED CARS NOOSA,1350,2360, , 
MADILL USED CARS GYMPIE, ,1308, , 
MFG BUDERIM, ,1295, , 
MONTVILLE MIST AUSTRALIA,713,570, , 
NEAT FEAT PRODUCTS,10340,6800,5355, 
OMF CAIRNS,6005,2610,3744, 
OMF MACKAY, ,2610,3175, 
OMF ROCKHAMPTON,5525,2080,3630, 
OMF SUNSHINE COAST,7405,3620,3870, 
OMF TOWNSVILLE,6062,2910,3731, 
OMF WIDE BAY,5408,4050,3225, 
ORIS DENTAL, ,1779, , 
PACK & SEND MAROOCHYDORE,713, , , 
PINK VISION - ACORN STAIRLIFTS, , ,2450, 
ROKITZ ENTERTAINMENT,3868, , , 
SEAFOOD MARKET @ CALOUNDRA, ,580, , 
SEE WELL LAW,1745,1200, , 
SOLOMONS MACKAY,1182,1345,1562, 
SOLOMONS SUNSHINE COAST,2050,2817,2434, 
SOLOMONS TOOWOOMBA,2000,1032,597, 
SOLOMONS WIDE BAY,1230,1752,1432, 
SOUTHERN CROSS SHEDS SUNSHINE COAST,1230,1050,1905, 
SUNSHINE COAST WINDSCREENS PTY LTD,1380, , , 
SUNSHINE COAST WASHERS & FRIDGES, ,3628, , 
SUNSTATE BRP CAN-AM SPYDER,2019, , , 
SUNSTATE BRP SEA-DOO SUNSHINE COAST, ,1119,1188, 
SUNSTATE TRIUMPH,410, , , 
SUPAVIEW SECURITY & SUNSCREEN,713,945,2220, 
TRANSPORTABLE SHADE SHEDS PTY LTD, ,2775, , 
TRU-BUILT & TRU-BALUSTRADE,1766, , , 
WALTER IEZZI PROPERTY GROUP,2959, , , 
Total Kim Jarrott_archived,123289,106808,51888, 
Total Airtime,123289,106808,51888, 
Total Airtime + Incl.Non Air.,123289,106808,51888, 
