Date,24/12/2020,,,,,Revenue By Channel,,,,,,,,,,
Time,15:24,,,,,,,,,,,,,,,
Search Criteria,,,,,,,,,,,Unauthorized records were excluded from the report,,,,,
Report Break Levels:,,Client By Representative,,,,,,,,,,,,,,
Sales Channels:,,All,,,,,,,,,,,,,,
Report Type:,,Fiscal Month,,,,,,,,,,,,,,
Periods:,,January 2019 to December 2019,,,,,,,,,,,,,,
Revenue Types:,,All Chargeable Revenues,,,,,,,,,,,,,,
Clients:,,All,,,,,,,,,,,,,,
Reporting Currency:,,Australian Dollars,,,,,,,,,,,,,,
Base Rates On:,,TX Date,,,,,,,,,,,,,,
Show Revenue As:,,Revenue,,,,,,,,,,,,,,
Sales Representatives:,,Tanya Bourne,,,,,,,,,,,,,,
Commissons:,,Not Deducted,,,,,,,,,,,,,,
,,Month   7,Month   8,Month   9,Month  10,Month  11,Month  12,Month   1,Month   2,Month   3,Month   4,Month   5,Month   6,,,
Representative,,30/12/18,03/02/19,03/03/19,31/03/19,05/05/19,02/06/19,30/06/19,04/08/19,01/09/19,29/09/19,03/11/19,01/12/19,,,Total
Representative Tanya Bourne,,,,,,,,,,,,,,,,
Representative Tanya Bourne,,,,,,,,,,,,,,,,
ADVERTISING FX & CONSULTANTS,,,,,,,,638,,,,,,,,638
ALEX SUPPORTERS ASSOC INC,,"1,403",937,,,,,,,,,,,,,"2,340"
ALEX SUPPORTERS ASSOC INC,,,,,"1,679","2,867","2,029","1,980",,,,"5,010","4,450",,,"18,015"
ALLGOOD FABRIC BRIDAL,,,,,,,,,,,511,75,,,,586
ALTUM CONTRUCTIONS,,"11,881","4,166","4,040","5,076","4,002","4,377","4,879",,"2,287","6,447",387,"4,291",,,"51,833"
ANDREWS AIRPORT PARKING (BRISBANE),,"1,440","1,561","1,034","1,497","1,517","1,047","1,629","1,506","1,434","1,847","1,416","2,283",,,"18,211"
ARISE SOLAR PTY LTD,,"12,777","12,512","12,512","12,512","12,606","12,607","14,907","14,299","12,216","15,384","19,654","17,214",,,"169,200"
ASSOCIATED RETAILERS,,"1,592",,,,,659,,"1,505",944,,,991,,,"5,691"
ATP ADV - CRICKS AUTO,,"8,776","3,860",,,,,,,,,,,,,"12,636"
ATP ADV - MERCEDES,,,,,,,,,,"2,046","2,030","2,063","2,162",,,"8,301"
ATP ADV - CRICKS VW COMMERCIAL,,"6,338","3,113",,,,,,,,,,,,,"9,451"
